fb_ref_name,football_data_name
AFC Wimbledon,AFC Wimbledon
Acc'ton Stanley,Accrington
Arsenal,Arsenal
Aston Villa,Aston Villa
Barnsley,Barnsley
Birmingham City,Birmingham
Blackburn,Blackburn
Blackpool,Blackpool
Bolton,Bolton
Bournemouth,Bournemouth
Bradford City,Bradford
Brentford,Brentford
Brighton,Brighton
Bristol City,Bristol City
Bristol Rovers,Bristol Rvs
Burnley,Burnley
Burton Albion,Burton
Bury,Bury
Cambridge Utd,Cambridge
Cardiff City,Cardiff
Carlisle United,Carlisle
Charlton Ath,Charlton
Chelsea,Chelsea
Cheltenham,Cheltenham
Chesterfield,Chesterfield
Colchester Utd,Colchester
Coventry City,Coventry
Crawley Town,Crawley Town
Crewe Alexandra,Crewe
Crystal Palace,Crystal Palace
Derby County,Derby
Doncaster,Doncaster
Everton,Everton
Exeter City,Exeter
FG Rovers,Forest Green
Fleetwood Town,Fleetwood Town
Fulham,Fulham
Gillingham,Gillingham
Huddersfield,Huddersfield
Hull City,Hull
Ipswich Town,Ipswich
Leeds United,Leeds
Leicester City,Leicester
Leyton Orient,Leyton Orient
Lincoln City,Lincoln
Liverpool,Liverpool
Luton Town,Luton
MK Dons,Milton Keynes Dons
Manchester City,Man City
Manchester Utd,Man United
Middlesbrough,Middlesbrough
Millwall,Millwall
Morecambe,Morecambe
Newcastle Utd,Newcastle
Northampton,Northampton
Norwich City,Norwich
Nott'ham Forest,Nott'm Forest
Notts County,Notts County
Oldham Athletic,Oldham
Oxford United,Oxford
P'borough Utd,Peterboro
Plymouth Argyle,Plymouth
Portsmouth,Portsmouth
Port Vale,Port Vale
Preston,Preston
QPR,QPR
Reading,Reading
Rochdale,Rochdale
Rotherham Utd,Rotherham
Scunthorpe Utd,Scunthorpe
Sheffield Utd,Sheffield United
Sheffield Weds,Sheffield Weds
Shrewsbury,Shrewsbury
Southampton,Southampton
Southend United,Southend
Stoke City,Stoke
Stevenage,Stevenage
Sunderland,Sunderland
Swansea City,Swansea
Swindon Town,Swindon
Tottenham,Tottenham
Tranmere Rovers,Tranmere
Walsall,Walsall
Watford,Watford
West Brom,West Brom
West Ham,West Ham
Wigan Athletic,Wigan
Wolves,Wolves
Wycombe,Wycombe
Yeovil Town,Yeovil
